locationName,lat,lon,stationId,time,temp
福山,24.778333,121.494583,C0A560,2021-03-31 15:00:00,22.9
安平,22.994972,120.144111,C0X190,2021-03-31 15:00:00,28.4
七塊厝,22.956258,121.221844,C0S950,2021-03-31 15:00:00,25.8
福隆,25.019167,121.934167,C0A880,2021-03-31 15:00:00,21.2
小奇萊,24.133550,121.287556,C0I530,2021-03-31 15:00:00,10.1
大林,23.602361,120.450281,C0M670,2021-03-31 15:00:00,29.2
玉里,23.323306,121.331556,C0Z061,2021-03-31 15:00:00,30.1
嘉義市東區,23.459414,120.452408,C0M730,2021-03-31 15:00:00,30.0
龜山島,24.843392,121.944947,C0U750,2021-03-31 15:00:00,23.0
火燒寮,25.004411,121.734572,C0A650,2021-03-31 15:00:00,23.0
斗六,23.722303,120.532972,C0K400,2021-03-31 15:00:00,28.3
魚池,23.897478,120.933219,C0I370,2021-03-31 15:00:00,28.1
向陽,23.250000,120.978056,C0S750,2021-03-31 15:00:00,21.5
竹田,22.586642,120.535392,C0R650,2021-03-31 15:00:00,30.3
造橋,24.638750,120.856583,C0E740,2021-03-31 15:00:00,24.3
白沙灣,25.284903,121.510814,C0AI20,2021-03-31 15:00:00,18.8
明德,24.585250,120.877222,C0E550,2021-03-31 15:00:00,23.2
下營,23.228686,120.248153,C0X060,2021-03-31 15:00:00,29.5
萬丹,22.589611,120.482389,C0R510,2021-03-31 15:00:00,30.7
三峽,24.940806,121.361500,C0AC60,2021-03-31 15:00:00,24.6
桃源谷,24.964408,121.880658,C0UA70,2021-03-31 15:00:00,21.9
大城,23.854225,120.312789,C0G740,2021-03-31 15:00:00,27.0
大里,24.094389,120.692194,C0F9N0,2021-03-31 15:00:00,28.6
西屯,24.182028,120.632861,C0F9T0,2021-03-31 15:00:00,27.9
鹿野,22.919517,121.114908,C0S710,2021-03-31 15:00:00,25.1
太保,23.456792,120.323303,C0M680,2021-03-31 15:00:00,28.4
學甲,23.232100,120.174072,C0X220,2021-03-31 15:00:00,27.3
新園,22.545194,120.453500,C0R560,2021-03-31 15:00:00,29.7
清水,24.314028,120.554083,C0F9P0,2021-03-31 15:00:00,25.2
虎頭埤,23.023139,120.339806,C0O970,2021-03-31 15:00:00,31.4
石岡,24.277822,120.769478,C0F0B0,2021-03-31 15:00:00,24.8
枋山,22.248639,120.653058,C0R700,2021-03-31 15:00:00,27.3
滿州,22.026208,120.831875,C0R780,2021-03-31 15:00:00,29.3
墾雷,21.902650,120.847244,C0R620,2021-03-31 15:00:00,28.6
楊梅,24.914139,121.134833,C0C660,2021-03-31 15:00:00,23.1
檳榔四格山,22.811789,121.101247,C0SA10,2021-03-31 15:00:00,24.1
六腳,23.494611,120.282500,C0M740,2021-03-31 15:00:00,27.4
斗南,23.680478,120.470231,C0K460,2021-03-31 15:00:00,27.9
臺南市北區,23.012167,120.186333,C0X100,2021-03-31 15:00:00,28.2
棋山,23.688211,120.595289,C0K560,2021-03-31 15:00:00,29.3
三地門,22.711667,120.631889,C0R150,2021-03-31 15:00:00,33.5
太麻里,22.610825,120.977275,C0S690,2021-03-31 15:00:00,24.4
大礁溪,24.792836,121.666839,C0U870,2021-03-31 15:00:00,22.2
山佳,24.976719,121.393789,C0A520,2021-03-31 15:00:00,25.4
官田,23.195028,120.307528,C0X130,2021-03-31 15:00:00,29.6
阿公店,22.805944,120.347444,C0V400,2021-03-31 15:00:00,28.8
西德山,24.562447,121.744417,C0UA40,2021-03-31 15:00:00,20.1
溪州,23.853347,120.490944,C0G720,2021-03-31 15:00:00,27.9
伸港,24.150528,120.476167,C0G890,2021-03-31 15:00:00,25.7
奇萊稜線A,24.111019,121.318297,C0I540,2021-03-31 15:00:00,10.3
土庫,23.680772,120.387436,C0K390,2021-03-31 15:00:00,28.2
大坪頂,22.026433,120.685536,C0R730,2021-03-31 15:00:00,27.8
月眉山,23.811736,121.531686,C0T9A0,2021-03-31 15:00:00,23.9
平等,25.130925,121.568856,C0AH40,2021-03-31 15:00:00,23.1
將軍,23.216733,120.127656,C0X280,2021-03-31 15:00:00,26.4
永安,22.824944,120.228806,C0V620,2021-03-31 15:00:00,28.2
草屯,23.975444,120.672194,C0H960,2021-03-31 15:00:00,29.3
奮起湖,23.495833,120.691111,C0M530,2021-03-31 15:00:00,20.9
屏東,22.661944,120.483611,C0R170,2021-03-31 15:00:00,31.8
國姓,24.039567,120.846925,C0I420,2021-03-31 15:00:00,28.8
石碇,24.995758,121.654639,C0A640,2021-03-31 15:00:00,23.6
三和,25.234933,121.586997,C0A930,2021-03-31 15:00:00,19.3
豐原,24.256306,120.712333,C0F9M0,2021-03-31 15:00:00,26.3
大屯山,25.177333,121.514167,C0AC40,2021-03-31 15:00:00,18.6
五股,25.076228,121.419053,C0AI00,2021-03-31 15:00:00,23.6
靜浦,23.456944,121.486667,C0T9M0,2021-03-31 15:00:00,27.3
香蘭,22.589372,120.985322,C0S960,2021-03-31 15:00:00,27.3
褒忠,23.692672,120.295503,C0K430,2021-03-31 15:00:00,27.3
卓溪,23.346047,121.295197,C0Z170,2021-03-31 15:00:00,29.1
東華,23.897056,121.541694,C0Z100,2021-03-31 15:00:00,28.2
太平山,24.507222,121.517500,C0U710,2021-03-31 15:00:00,16.9
都歷,23.022142,121.315558,C0SA30,2021-03-31 15:00:00,26.8
旗津,22.590417,120.277889,C0V500,2021-03-31 15:00:00,29.7
南投服務區,23.902453,120.704053,CM0160,2021-03-31 15:00:00,28.1
溪埔,22.740278,120.438611,C0V350,2021-03-31 15:00:00,31.5
高樹,22.828222,120.592722,C0R470,2021-03-31 15:00:00,32.3
嘉義梅山,23.587147,120.547464,C0M770,2021-03-31 15:00:00,28.0
延平,22.904381,121.075983,C0S930,2021-03-31 15:00:00,26.3
桃山A,24.434519,121.295628,C0F9Y0,2021-03-31 15:00:00,11.3
卓蘭,24.314833,120.816194,C0E790,2021-03-31 15:00:00,25.6
曾文,23.221472,120.489222,C0O810,2021-03-31 15:00:00,32.0
崁頂,22.516639,120.498972,C0R520,2021-03-31 15:00:00,29.6
二水,23.812778,120.609028,C0G880,2021-03-31 15:00:00,28.3
春日,22.372167,120.620250,C0R260,2021-03-31 15:00:00,29.2
鶯子嶺,24.899333,121.784231,C0U950,2021-03-31 15:00:00,19.3
大內,23.120611,120.352750,C0O860,2021-03-31 15:00:00,30.6
車城,22.075833,120.708056,C0R320,2021-03-31 15:00:00,28.5
勝林山,22.432239,120.885742,C0S980,2021-03-31 15:00:00,27.1
臺南市南區,22.963028,120.180417,C0X110,2021-03-31 15:00:00,28.3
美濃,22.900556,120.511111,C0V310,2021-03-31 15:00:00,31.9
芬園,24.017222,120.613056,C0G620,2021-03-31 15:00:00,30.1
鶯歌,24.953000,121.337250,C0AD50,2021-03-31 15:00:00,23.8
北寮,23.081611,120.486944,C0O830,2021-03-31 15:00:00,34.4
紅石,23.071389,121.120000,C0S760,2021-03-31 15:00:00,20.0
仁德,22.970111,120.249778,C0X160,2021-03-31 15:00:00,28.5
八德,24.930528,121.275000,C0C490,2021-03-31 15:00:00,22.3
大漢山,22.405861,120.745083,C0R440,2021-03-31 15:00:00,18.3
水上,23.421475,120.380792,C0M690,2021-03-31 15:00:00,28.7
鼓山,22.625139,120.267500,C0V690,2021-03-31 15:00:00,27.9
瑞穗,23.525708,121.382086,C0Z210,2021-03-31 15:00:00,27.8
南澳,24.451153,121.802036,C0U770,2021-03-31 15:00:00,26.1
富源,23.589750,121.370389,C0Z080,2021-03-31 15:00:00,27.7
鹿港,24.076944,120.422222,C0G640,2021-03-31 15:00:00,26.2
左鎮,23.058528,120.400444,C0X200,2021-03-31 15:00:00,30.2
內城,24.719928,121.679461,C0U900,2021-03-31 15:00:00,25.2
和平,24.308961,121.761903,C0Z230,2021-03-31 15:00:00,26.1
潭子,24.214750,120.695833,C0F9O0,2021-03-31 15:00:00,27.5
保力,22.072925,120.756094,C0R770,2021-03-31 15:00:00,26.6
大園,25.049444,121.217778,C0C540,2021-03-31 15:00:00,22.5
福興,24.042972,120.429528,C0G770,2021-03-31 15:00:00,27.7
楠梓,22.721528,120.277917,C0V670,2021-03-31 15:00:00,28.2
潮州,22.536139,120.531972,C0R220,2021-03-31 15:00:00,29.8
和平林道,24.345722,121.648142,C0Z220,2021-03-31 15:00:00,23.1
竹東,24.769250,121.049861,C0D560,2021-03-31 15:00:00,23.4
集集,23.829972,120.793328,C0I380,2021-03-31 15:00:00,28.9
明里,23.210556,121.254167,C0Z020,2021-03-31 15:00:00,28.6
富世,24.149236,121.621542,C0Z190,2021-03-31 15:00:00,26.6
